_id,id,urlParams,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,lastLogin,data.tangramURLs,data.role,data.clicked
pKar7pTzFFC5ysRoL,id141,"{""playerIdKey"":""id141""}",,2024-08-02T21:19:55Z,,,,2024-08-02T21:25:36Z,finished,,,,2024-08-02T20:28:19Z,"{""at"":""2024-08-02T20:28:30.543Z""}","/experiment/B1.jpg,/experiment/E1.jpg",speaker,false
fRuZncWXCE9L99CBR,id142,"{""playerIdKey"":""id142""}",,2024-08-02T21:19:54Z,,,,2024-08-02T21:25:36Z,finished,,,,2024-08-02T20:29:00Z,"{""at"":""2024-08-02T20:29:00.378Z""}","/experiment/E1.jpg,/experiment/B1.jpg",listener,/experiment/E1.jpg
2tXPo3BLSmr3j5yeq,id144,"{""playerIdKey"":""id144""}",,2024-08-06T16:29:32Z,,,,2024-08-06T16:34:54Z,finished,,,,2024-08-02T21:35:33Z,"{""at"":""2024-08-06T16:01:08.840Z""}","/experiment/E1.jpg,/experiment/B1.jpg",listener,/experiment/E1.jpg
a2nu9vtnbKPTjo5EY,id143,"{""playerIdKey"":""id143""}",,2024-08-06T16:29:33Z,,,,2024-08-06T16:34:54Z,finished,,,,2024-08-02T21:35:41Z,"{""at"":""2024-08-06T16:28:24.571Z""}","/experiment/E1.jpg,/experiment/B1.jpg",speaker,false
RX5Dioj9vYGLEWAH9,id145,"{""playerIdKey"":""id145""}",,2024-08-06T16:48:31Z,,,,2024-08-06T16:53:36Z,finished,,,,2024-08-06T16:39:01Z,"{""at"":""2024-08-06T16:39:01.732Z""}","/experiment/E1.jpg,/experiment/D1.jpg",speaker,false
5yHkv5QFdrf6qLYeJ,id146,"{""playerIdKey"":""id146""}",,2024-08-06T16:48:30Z,,,,2024-08-06T16:53:36Z,finished,,,,2024-08-06T16:39:35Z,"{""at"":""2024-08-06T16:46:02.432Z""}","/experiment/E1.jpg,/experiment/D1.jpg",listener,/experiment/E1.jpg
cNr7yvedfAHLGNgi2,id147,"{""playerIdKey"":""id147""}",,2024-08-08T16:37:35Z,,,,2024-08-08T16:43:02Z,finished,,,,2024-08-06T17:10:48Z,"{""at"":""2024-08-08T16:07:24.003Z""}","/experiment/B1.jpg,/experiment/I1.jpg",listener,/experiment/B1.jpg
DH2C4R2cDzNh2KiEE,id148,"{""playerIdKey"":""id148""}",,2024-08-08T16:37:35Z,,,,2024-08-08T16:43:02Z,finished,,,,2024-08-06T17:11:19Z,"{""at"":""2024-08-08T16:08:04.382Z""}","/experiment/I1.jpg,/experiment/B1.jpg",speaker,false
WsFynTcESnRu9RH6t,id149,"{""playerIdKey"":""id149""}",,2024-08-08T17:54:23Z,,,,2024-08-08T18:00:57Z,finished,,,,2024-08-08T16:56:15Z,"{""at"":""2024-08-08T16:56:16.070Z""}","/experiment/E1.jpg,/experiment/B1.jpg",listener,/experiment/B1.jpg
dtnKX7TikEPnQu7cr,id150,"{""playerIdKey"":""id150""}",,2024-08-08T17:55:13Z,,,,2024-08-08T18:00:57Z,finished,,,,2024-08-08T16:56:55Z,"{""at"":""2024-08-08T17:53:17.409Z""}","/experiment/B1.jpg,/experiment/E1.jpg",speaker,false
