_id,bot,readyAt,timeoutStartedAt,timeoutWaitCount,exitStepsDone,exitAt,exitStatus,exitReason,retiredAt,retiredReason,createdAt,data.tangramURLs,data.role,data.clicked
F8PoebDEg8yRsQ3np,,2023-07-03T22:06:58Z,,,,2023-07-03T22:09:40Z,finished,,,,2023-07-03T22:06:43Z,"/experiment/I1.jpg,/experiment/B1.jpg",speaker,false
kSBFHuJaZnSDRheeS,,2023-07-03T22:06:52Z,,,,2023-07-03T22:09:40Z,finished,,,,2023-07-03T22:06:51Z,"/experiment/B1.jpg,/experiment/I1.jpg",listener,/experiment/B1.jpg
3iTAR2NDoGzetA7TJ,,2023-07-05T20:12:14Z,,,,2023-07-05T20:14:57Z,finished,,,,2023-07-05T20:11:52Z,"/experiment/B1.jpg,/experiment/E1.jpg",speaker,false
prpR8vFGSBh9F8ayF,,2023-07-05T20:12:14Z,,,,2023-07-05T20:14:57Z,finished,,,,2023-07-05T20:11:52Z,"/experiment/B1.jpg,/experiment/E1.jpg",listener,/experiment/E1.jpg
rpYgYEupNJBwHFHPk,,2023-07-05T20:30:09Z,,,,2023-07-05T20:30:19Z,gameCancelled,,,,2023-07-05T20:29:47Z,"/experiment/bird.jpeg,/experiment/apple.png",listener,false
unFpPEgJohwPpF9ya,,2023-07-05T20:30:08Z,,,,2023-07-05T20:30:19Z,gameCancelled,,,,2023-07-05T20:29:53Z,"/experiment/apple.png,/experiment/bird.jpeg",speaker,false
Y2sfYDFKZr6NHJWE9,,2023-07-05T20:53:38Z,,,,2023-07-05T20:57:36Z,gameCancelled,,,,2023-07-05T20:52:53Z,"/experiment/E1.jpg,/experiment/I1.jpg",listener,false
qDjRbCM9sPFbEhLv6,,2023-07-05T20:53:33Z,,,,2023-07-05T20:57:36Z,gameCancelled,,,,2023-07-05T20:53:03Z,"/experiment/I1.jpg,/experiment/E1.jpg",speaker,false
BSJSzj2yjvPBeEfys,,2023-07-06T18:37:51Z,,,,2023-07-06T18:38:05Z,gameCancelled,,,,2023-07-05T21:07:09Z,"/experiment/banana.png,/experiment/apple.png",listener,false
4KcKBBih4YrYZEZKj,,2023-07-05T21:08:10Z,,,,2023-07-06T18:38:05Z,gameCancelled,,,,2023-07-05T21:08:09Z,"/experiment/banana.png,/experiment/apple.png",speaker,false
6QBrAXLirFxcgZSNS,,2023-07-06T18:39:36Z,,,,2023-07-06T18:41:47Z,finished,,,,2023-07-06T18:39:26Z,"/experiment/I1.jpg,/experiment/E1.jpg",listener,/experiment/I1.jpg
Hfy5kwR9FwjN25Jf7,,2023-07-06T18:39:37Z,,,,2023-07-06T18:41:47Z,finished,,,,2023-07-06T18:39:26Z,"/experiment/E1.jpg,/experiment/I1.jpg",speaker,false
KmW8Pkx8JzSPkTA48,,2023-07-06T19:15:39Z,,,,2023-07-06T19:18:34Z,finished,,,,2023-07-06T19:02:32Z,"/experiment/E1.jpg,/experiment/I1.jpg",listener,/experiment/E1.jpg
QSsD76qKRJBJXKYHc,,2023-07-06T19:15:39Z,,,,2023-07-06T19:18:34Z,finished,,,,2023-07-06T19:02:32Z,"/experiment/I1.jpg,/experiment/E1.jpg",speaker,false
bcnScFQdT2YEPXFTm,,2023-07-06T19:24:32Z,,,,2023-07-06T19:25:13Z,finished,,,,2023-07-06T19:24:24Z,"/experiment/B1.jpg,/experiment/D1.jpg",listener,/experiment/B1.jpg
sJE9MPL3JabtgTD2Y,,2023-07-06T19:24:32Z,,,,2023-07-06T19:25:13Z,finished,,,,2023-07-06T19:24:25Z,"/experiment/B1.jpg,/experiment/D1.jpg",speaker,false
zdEFwPHsoygJEWGrd,,2023-07-06T19:37:03Z,,,,2023-07-06T19:40:14Z,finished,,,,2023-07-06T19:35:58Z,"/experiment/I1.jpg,/experiment/B1.jpg",listener,/experiment/B1.jpg
yMTJYtGLpnHK8ia8R,,2023-07-06T19:36:49Z,,,,2023-07-06T19:40:14Z,finished,,,,2023-07-06T19:35:58Z,"/experiment/I1.jpg,/experiment/B1.jpg",speaker,false
hxNvXWgcveNNoLdvu,,,,,,2023-07-07T16:08:26Z,gameFull,,,,2023-07-07T16:04:34Z,,,
Pk8sB7J4Ct46rxfWb,,,,,,2023-07-07T16:08:26Z,gameFull,,,,2023-07-07T16:04:42Z,,,
ARqcG7v8CePPZ4kwj,,2023-07-07T16:10:36Z,,,,2023-07-07T16:12:12Z,finished,,,,2023-07-07T16:08:56Z,"/experiment/E1.jpg,/experiment/B1.jpg",listener,/experiment/B1.jpg
ZThHNDqoXsjb5WJKL,,2023-07-07T16:10:35Z,,,,2023-07-07T16:12:12Z,finished,,,,2023-07-07T16:08:56Z,"/experiment/E1.jpg,/experiment/B1.jpg",speaker,false
ac5gf6LwQPRCWigoa,,2023-07-07T16:37:52Z,,,,2023-07-07T16:42:22Z,finished,,,,2023-07-07T16:18:37Z,"/experiment/I1.jpg,/experiment/D1.jpg",listener,/experiment/D1.jpg
XE2vXgmzLRuoydTmL,,2023-07-07T16:37:52Z,,,,2023-07-07T16:42:22Z,finished,,,,2023-07-07T16:18:37Z,"/experiment/D1.jpg,/experiment/I1.jpg",speaker,false
sNbbHHPDS9PPAMyuM,,2023-07-07T17:03:21Z,,,,2023-07-07T17:18:24Z,gameCancelled,,,,2023-07-07T16:48:55Z,"/experiment/E1.jpg,/experiment/B1.jpg",speaker,false
Fznetzw4x7q2YGvCL,,2023-07-07T17:03:22Z,,,,2023-07-07T17:18:24Z,gameCancelled,,,,2023-07-07T16:48:55Z,"/experiment/E1.jpg,/experiment/B1.jpg",listener,false
qCY36YEFGS9L7aaWc,,2023-07-11T16:08:07Z,,,,2023-07-11T16:15:07Z,finished,,,,2023-07-11T15:28:35Z,"/experiment/D1.jpg,/experiment/E1.jpg",speaker,false
fqA2QSxmfnnwekggL,,2023-07-11T16:08:06Z,,,,2023-07-11T16:15:07Z,finished,,,,2023-07-11T15:29:36Z,"/experiment/D1.jpg,/experiment/E1.jpg",listener,/experiment/E1.jpg
4K6k6RGkQvaY7kpjm,,2023-07-11T16:23:57Z,,,,2023-07-11T16:31:33Z,gameCancelled,,,,2023-07-11T16:20:49Z,"/experiment/B1.jpg,/experiment/D1.jpg",speaker,false
LifnhoeDpCZ8EcFhL,,2023-07-11T16:23:55Z,,,,2023-07-11T16:31:33Z,gameCancelled,,,,2023-07-11T16:20:49Z,"/experiment/D1.jpg,/experiment/B1.jpg",listener,false
c6BetB2f3h5KC6dWp,,2023-07-11T16:38:59Z,,,,2023-07-11T16:46:36Z,finished,,,,2023-07-11T16:36:40Z,"/experiment/E1.jpg,/experiment/D1.jpg",speaker,false
jgv7pXmhceH2Hz7Tn,,2023-07-11T16:38:56Z,,,,2023-07-11T16:46:36Z,finished,,,,2023-07-11T16:36:40Z,"/experiment/E1.jpg,/experiment/D1.jpg",listener,/experiment/D1.jpg
NMT7g2zuK8BmoJLhC,,2023-07-18T16:29:38Z,,,,2023-07-18T16:37:33Z,finished,,,,2023-07-18T16:02:52Z,"/experiment/E1.jpg,/experiment/I1.jpg",speaker,false
urMF5f3EBCQLmCyvT,,2023-07-18T16:29:39Z,,,,2023-07-18T16:37:33Z,finished,,,,2023-07-18T16:02:53Z,"/experiment/I1.jpg,/experiment/E1.jpg",listener,/experiment/E1.jpg
6MHXB7FAvxXXKdpn8,,2023-07-18T17:02:38Z,,,,2023-07-18T17:11:06Z,finished,,,,2023-07-18T16:42:21Z,"/experiment/B1.jpg,/experiment/E1.jpg",listener,/experiment/E1.jpg
X4aGoYNw9EB6vpnHL,,2023-07-18T17:02:20Z,,,,2023-07-18T17:11:06Z,finished,,,,2023-07-18T16:42:21Z,"/experiment/E1.jpg,/experiment/B1.jpg",speaker,false
s3fCrmmMu6bcF5seY,,2023-07-19T16:18:03Z,,,,2023-07-19T16:21:29Z,gameCancelled,,,,2023-07-19T15:58:33Z,"/experiment/apple.png,/experiment/banana.png",speaker,false
shW939MwJTxoCiiwD,,2023-07-19T16:18:24Z,,,,2023-07-19T16:21:29Z,gameCancelled,,,,2023-07-19T15:58:33Z,"/experiment/apple.png,/experiment/banana.png",listener,false
6NvztE6iJL6Cd96d7,,2023-07-19T16:35:51Z,,,,2023-07-19T16:41:05Z,finished,,,,2023-07-19T16:21:29Z,"/experiment/D1.jpg,/experiment/E1.jpg",speaker,false
zXTfEi2TZ3463tuHW,,2023-07-19T16:35:52Z,,,,2023-07-19T16:41:05Z,finished,,,,2023-07-19T16:31:55Z,"/experiment/D1.jpg,/experiment/E1.jpg",listener,/experiment/E1.jpg
6ZsWShqh2ucb2YiLk,,2023-07-20T16:13:59Z,,,,2023-07-20T16:19:02Z,finished,,,,2023-07-19T16:44:22Z,"/experiment/D1.jpg,/experiment/B1.jpg",listener,/experiment/B1.jpg
JmREFzKEKzMgm7M7e,,2023-07-20T16:13:58Z,,,,2023-07-20T16:19:02Z,finished,,,,2023-07-19T16:44:22Z,"/experiment/D1.jpg,/experiment/B1.jpg",speaker,false
3g2FQBs7M63jg4gDt,,2023-07-20T16:36:47Z,,,,2023-07-20T16:43:54Z,finished,,,,2023-07-20T16:23:08Z,"/experiment/B1.jpg,/experiment/E1.jpg",speaker,false
k8ukd6LHJsLP7tihz,,2023-07-20T16:36:50Z,,,,2023-07-20T16:43:54Z,finished,,,,2023-07-20T16:23:08Z,"/experiment/B1.jpg,/experiment/E1.jpg",listener,/experiment/E1.jpg
v8XSz5XEZkaSRem8B,,2023-07-26T15:36:22Z,,,,2023-07-26T15:42:40Z,finished,,,,2023-07-20T16:49:41Z,"/experiment/I1.jpg,/experiment/E1.jpg",listener,/experiment/I1.jpg
ryDzspgxMkcNBwApF,,2023-07-26T15:36:22Z,,,,2023-07-26T15:42:40Z,finished,,,,2023-07-20T16:49:42Z,"/experiment/E1.jpg,/experiment/I1.jpg",speaker,false
Zvng3vFnaZfPw4Fv7,,2023-07-26T16:00:46Z,,,,2023-07-26T16:05:12Z,finished,,,,2023-07-26T15:49:48Z,"/experiment/E1.jpg,/experiment/B1.jpg",speaker,false
Jq93Pmcw5yeBm8fao,,2023-07-26T16:00:41Z,,,,2023-07-26T16:05:12Z,finished,,,,2023-07-26T15:50:00Z,"/experiment/B1.jpg,/experiment/E1.jpg",listener,/experiment/E1.jpg
Jni4qjqNEs6Hbvckj,,2023-07-26T16:52:29Z,,,,2023-07-26T17:01:32Z,finished,,,,2023-07-26T16:18:55Z,"/experiment/D1.jpg,/experiment/B1.jpg",speaker,false
jmYXEStx52GvNGjM8,,2023-07-26T16:52:33Z,,,,2023-07-26T17:01:32Z,finished,,,,2023-07-26T16:19:09Z,"/experiment/D1.jpg,/experiment/B1.jpg",listener,/experiment/D1.jpg
pRfH9RLCaPS6qRMjc,,2023-07-27T16:30:45Z,,,,2023-07-27T16:34:27Z,finished,,,,2023-07-26T17:18:55Z,"/experiment/B1.jpg,/experiment/D1.jpg",speaker,false
