game,target,distractor,trialNum,targetNum,repNum,response,correct,time,listener,speaker
game46,banana,dog,1,NA,NA,banana,true,11567,id24,id23
game46,swim,walk,2,0,0,swim,true,12250,id23,id24
game46,jump,swim,3,1,0,swim,false,12533,id24,id23
game46,hold,jump,4,2,0,jump,false,75060,id23,id24
game46,walk,hold,5,3,0,walk,true,13574,id24,id23
game46,jump,hold,6,0,1,jump,true,65274,id23,id24
game46,hold,jump,7,1,1,hold,true,15359,id24,id23
game46,swim,jump,8,2,1,swim,true,11429,id23,id24
game46,walk,hold,9,3,1,hold,false,18037,id24,id23
game46,walk,jump,10,0,2,jump,false,47023,id23,id24
game46,swim,jump,11,1,2,swim,true,9645,id24,id23
game46,hold,swim,12,2,2,swim,false,25945,id23,id24
game46,jump,walk,13,3,2,jump,true,19241,id24,id23
game47,dog,bird,0,NA,NA,dog,true,20262,id25,id26
game47,apple,banana,1,NA,NA,apple,true,7892,id26,id25
game47,swim,jump,2,0,0,jump,false,26004,id25,id26
game47,jump,walk,3,1,0,walk,false,61995,id26,id25
game47,walk,hold,4,2,0,hold,false,40490,id25,id26
game47,hold,jump,5,3,0,hold,true,29518,id26,id25
game47,walk,hold,6,0,1,walk,true,31448,id25,id26
game47,jump,walk,7,1,1,jump,true,26384,id26,id25
game47,hold,swim,8,2,1,hold,true,12607,id25,id26
game47,swim,jump,9,3,1,swim,true,17097,id26,id25
game47,jump,walk,10,0,2,jump,true,10179,id25,id26
game47,walk,hold,11,1,2,walk,true,11724,id26,id25
game47,swim,hold,12,2,2,swim,true,9854,id25,id26
game47,hold,jump,13,3,2,hold,true,13765,id26,id25
game48,bird,banana,0,NA,NA,bird,true,15662,id27,id28
game48,apple,dog,1,NA,NA,apple,true,14353,id28,id27
game48,hold,walk,2,0,0,hold,true,20639,id27,id28
game48,walk,hold,3,1,0,hold,false,17297,id28,id27
game48,jump,walk,4,2,0,jump,true,18209,id27,id28
game48,swim,jump,5,3,0,swim,true,14863,id28,id27
game48,walk,jump,6,0,1,walk,true,18863,id27,id28
game48,hold,walk,7,1,1,hold,true,16716,id28,id27
game48,swim,jump,8,2,1,swim,true,10732,id27,id28
game48,jump,hold,9,3,1,jump,true,12000,id28,id27
game48,hold,swim,10,0,2,hold,true,13517,id27,id28
game48,swim,walk,11,1,2,swim,true,15206,id28,id27
game48,walk,jump,12,2,2,walk,true,11490,id27,id28
game48,jump,walk,13,3,2,jump,true,8890,id28,id27
game49,dog,apple,0,NA,NA,dog,true,19629,id29,id30
game49,banana,bird,1,NA,NA,banana,true,13713,id30,id29
game49,swim,jump,2,0,0,swim,true,36137,id29,id30
game49,jump,walk,3,1,0,walk,false,18612,id30,id29
game49,walk,jump,4,2,0,NA,false,NA,id29,id30
game49,hold,walk,5,3,0,hold,true,17456,id30,id29
game49,hold,walk,6,0,1,hold,true,11387,id29,id30
game49,swim,hold,7,1,1,swim,true,11492,id30,id29
game49,walk,jump,8,2,1,walk,true,28407,id29,id30
game49,jump,swim,9,3,1,swim,false,11027,id30,id29
game49,walk,jump,10,0,2,walk,true,107607,id29,id30
game49,jump,walk,11,1,2,jump,true,12166,id30,id29
game49,hold,jump,12,2,2,hold,true,3865,id29,id30
game49,swim,walk,13,3,2,swim,true,8038,id30,id29
game50,apple,dog,0,NA,NA,apple,true,13857,id31,id32
game50,banana,bird,1,NA,NA,banana,true,11432,id32,id31
game50,walk,hold,2,0,0,walk,true,10930,id31,id32
game50,swim,jump,3,1,0,swim,true,13870,id32,id31
game50,hold,walk,4,2,0,hold,true,13980,id31,id32
game50,jump,hold,5,3,0,jump,true,22631,id32,id31
game50,jump,swim,6,0,1,jump,true,13777,id31,id32
game50,swim,hold,7,1,1,swim,true,7762,id32,id31
game50,hold,swim,8,2,1,hold,true,10207,id31,id32
game50,walk,jump,9,3,1,walk,true,10223,id32,id31
game50,jump,walk,10,0,2,jump,true,8805,id31,id32
game50,hold,jump,11,1,2,hold,true,7951,id32,id31
game50,swim,hold,12,2,2,swim,true,11191,id31,id32
game50,walk,swim,13,3,2,walk,true,5592,id32,id31
game51,dog,banana,0,NA,NA,dog,true,14369,id34,id33
game51,apple,bird,1,NA,NA,apple,true,13129,id33,id34
game51,hold,swim,2,0,0,hold,true,17139,id34,id33
game51,swim,hold,3,1,0,swim,true,37207,id33,id34
game51,jump,hold,4,2,0,jump,true,10015,id34,id33
game51,walk,jump,5,3,0,walk,true,10758,id33,id34
game51,jump,walk,6,0,1,jump,true,17116,id34,id33
game51,swim,hold,7,1,1,swim,true,20770,id33,id34
game51,walk,swim,8,2,1,walk,true,7113,id34,id33
game51,hold,walk,9,3,1,hold,true,16617,id33,id34
game51,walk,hold,10,0,2,walk,true,6313,id34,id33
game51,swim,hold,11,1,2,swim,true,16432,id33,id34
game51,jump,hold,12,2,2,jump,true,6783,id34,id33
game51,hold,swim,13,3,2,hold,true,10922,id33,id34
game52,bird,dog,0,NA,NA,bird,true,16253,id36,id35
game52,apple,banana,1,NA,NA,apple,true,19539,id35,id36
game52,swim,jump,2,0,0,jump,false,16318,id36,id35
game52,hold,walk,3,1,0,walk,false,16475,id35,id36
game52,walk,hold,4,2,0,walk,true,12676,id36,id35
game52,jump,hold,5,3,0,hold,false,54426,id35,id36
game52,jump,walk,6,0,1,jump,true,12071,id36,id35
game52,swim,hold,7,1,1,swim,true,15846,id35,id36
game52,hold,jump,8,2,1,jump,false,15791,id36,id35
game52,walk,hold,9,3,1,walk,true,34048,id35,id36
game52,jump,hold,10,0,2,jump,true,8769,id36,id35
game52,swim,jump,11,1,2,swim,true,17755,id35,id36
game52,walk,swim,12,2,2,walk,true,5614,id36,id35
game52,hold,walk,13,3,2,hold,true,11702,id35,id36
game54,dog,banana,0,NA,NA,dog,true,23525,id39,id40
game54,apple,bird,1,NA,NA,apple,true,14650,id40,id39
game54,swim,walk,2,0,0,swim,true,13340,id39,id40
game54,jump,walk,3,1,0,walk,false,144234,id40,id39
game54,hold,jump,4,2,0,hold,true,21616,id39,id40
game54,walk,swim,5,3,0,walk,true,9527,id40,id39
game54,walk,hold,6,0,1,hold,false,13280,id39,id40
game54,swim,hold,7,1,1,swim,true,46050,id40,id39
game54,jump,swim,8,2,1,swim,false,15224,id39,id40
game54,hold,swim,9,3,1,hold,true,45033,id40,id39
game54,hold,swim,10,0,2,swim,false,7381,id39,id40
game54,swim,walk,11,1,2,swim,true,11879,id40,id39
game54,walk,swim,12,2,2,walk,true,5136,id39,id40
game54,jump,swim,13,3,2,jump,true,17559,id40,id39
game55,dog,apple,0,NA,NA,dog,true,23699,id42,id41
game55,bird,banana,1,NA,NA,bird,true,19811,id41,id42
game55,swim,jump,2,0,0,swim,true,31514,id42,id41
game55,hold,swim,3,1,0,hold,true,24101,id41,id42
game55,jump,hold,4,2,0,jump,true,77635,id42,id41
game55,walk,hold,5,3,0,walk,true,13285,id41,id42
game55,walk,hold,6,0,1,walk,true,20367,id42,id41
game55,hold,walk,7,1,1,hold,true,20670,id41,id42
game55,jump,hold,8,2,1,hold,false,39539,id42,id41
game55,swim,hold,9,3,1,swim,true,23832,id41,id42
game55,hold,jump,10,0,2,hold,true,19601,id42,id41
game55,swim,jump,11,1,2,swim,true,11227,id41,id42
game55,walk,hold,12,2,2,walk,true,23039,id42,id41
game56,banana,dog,0,NA,NA,banana,true,18441,id44,id43
game56,apple,bird,1,NA,NA,apple,true,9882,id43,id44
game56,hold,swim,2,0,0,hold,true,13768,id44,id43
game56,walk,hold,3,1,0,walk,true,14413,id43,id44
game56,jump,hold,4,2,0,jump,true,13151,id44,id43
game56,swim,jump,5,3,0,swim,true,23047,id43,id44
game56,walk,swim,6,0,1,walk,true,12930,id44,id43
game56,swim,hold,7,1,1,swim,true,9832,id43,id44
game56,jump,swim,8,2,1,swim,false,11052,id44,id43
game56,hold,swim,9,3,1,hold,true,6734,id43,id44
game56,walk,swim,10,0,2,walk,true,11492,id44,id43
game56,jump,swim,11,1,2,jump,true,7432,id43,id44
game56,swim,hold,12,2,2,swim,true,11159,id44,id43
game56,hold,jump,13,3,2,hold,true,8035,id43,id44
game57,bird,banana,0,NA,NA,bird,true,15365,id46,id45
game57,dog,apple,1,NA,NA,dog,true,12731,id45,id46
game57,swim,jump,2,0,0,swim,true,63423,id46,id45
game57,jump,swim,3,1,0,jump,true,47135,id45,id46
game57,hold,walk,4,2,0,hold,true,17665,id46,id45
game57,walk,swim,5,3,0,walk,true,11297,id45,id46
game57,walk,swim,6,0,1,walk,true,8457,id46,id45
game57,jump,hold,7,1,1,jump,true,11562,id45,id46
game57,swim,jump,8,2,1,swim,true,8963,id46,id45
game57,hold,walk,9,3,1,hold,true,11013,id45,id46
game57,walk,jump,10,0,2,walk,true,6973,id46,id45
game57,swim,walk,11,1,2,swim,true,20322,id45,id46
game57,jump,hold,12,2,2,hold,false,4874,id46,id45
game57,hold,jump,13,3,2,hold,true,13317,id45,id46
game58,bird,banana,0,NA,NA,bird,true,12431,id48,id47
game58,apple,dog,1,NA,NA,apple,true,12753,id47,id48
game58,hold,swim,2,0,0,hold,true,9382,id48,id47
game58,jump,walk,3,1,0,jump,true,30352,id47,id48
game58,walk,jump,4,2,0,walk,true,6029,id48,id47
game58,swim,jump,5,3,0,swim,true,7703,id47,id48
game58,hold,jump,6,0,1,hold,true,13260,id48,id47
game58,jump,hold,7,1,1,jump,true,36159,id47,id48
game58,swim,hold,8,2,1,swim,true,4712,id48,id47
game58,walk,swim,9,3,1,walk,true,8313,id47,id48
game58,swim,jump,10,0,2,swim,true,8156,id48,id47
game58,hold,walk,11,1,2,hold,true,10464,id47,id48
game58,jump,swim,12,2,2,jump,true,8935,id48,id47
game58,walk,hold,13,3,2,walk,true,8162,id47,id48
game59,banana,bird,0,NA,NA,banana,true,17311,id49,id50
game59,dog,apple,1,NA,NA,dog,true,10496,id50,id49
game59,swim,hold,2,0,0,swim,true,29031,id49,id50
game59,hold,jump,3,1,0,jump,false,13290,id50,id49
game59,jump,swim,4,2,0,jump,true,24893,id49,id50
game59,walk,jump,5,3,0,walk,true,8220,id50,id49
game59,walk,swim,6,0,1,walk,true,10962,id49,id50
game59,swim,jump,7,1,1,jump,false,20282,id50,id49
game59,jump,hold,8,2,1,jump,true,19436,id49,id50
game59,hold,jump,9,3,1,hold,true,13854,id50,id49
game59,hold,swim,10,0,2,hold,true,14044,id49,id50
game59,swim,walk,11,1,2,swim,true,12200,id50,id49
game59,jump,swim,12,2,2,jump,true,24796,id49,id50
game59,walk,swim,13,3,2,walk,true,13716,id50,id49
game60,banana,apple,0,NA,NA,banana,true,39024,id51,id52
game60,bird,dog,1,NA,NA,bird,true,9759,id52,id51
game60,jump,walk,2,0,0,jump,true,25662,id51,id52
game60,hold,swim,3,1,0,swim,false,401,id52,id51
game60,walk,hold,4,2,0,walk,true,19197,id51,id52
game60,swim,walk,5,3,0,swim,true,13543,id52,id51
game60,swim,walk,6,0,1,swim,true,36077,id51,id52
game60,jump,hold,7,1,1,jump,true,26515,id52,id51
game60,walk,swim,8,2,1,walk,true,23683,id51,id52
game60,hold,jump,9,3,1,hold,true,14764,id52,id51
game60,walk,hold,10,0,2,hold,false,34142,id51,id52
game60,jump,swim,11,1,2,jump,true,13767,id52,id51
game60,hold,jump,12,2,2,hold,true,37400,id51,id52
game60,swim,hold,13,3,2,swim,true,12792,id52,id51
game61,dog,apple,0,NA,NA,apple,false,8586,id54,id53
game61,bird,banana,1,NA,NA,bird,true,16784,id53,id54
game61,hold,jump,2,0,0,hold,true,18066,id54,id53
game61,swim,walk,3,1,0,swim,true,35907,id53,id54
game61,walk,swim,4,2,0,walk,true,11912,id54,id53
game61,jump,walk,5,3,0,jump,true,13818,id53,id54
game61,swim,hold,6,0,1,swim,true,8953,id54,id53
game61,jump,walk,7,1,1,jump,true,10812,id53,id54
game61,walk,hold,8,2,1,walk,true,8087,id54,id53
game61,hold,jump,9,3,1,hold,true,70980,id53,id54
game61,walk,jump,10,0,2,walk,true,10750,id54,id53
game61,jump,hold,11,1,2,jump,true,10476,id53,id54
game61,swim,jump,12,2,2,swim,true,6010,id54,id53
game61,hold,walk,13,3,2,hold,true,10805,id53,id54
game63,apple,bird,0,NA,NA,apple,true,14366,id57,id58
game63,banana,dog,1,NA,NA,banana,true,6849,id58,id57
game63,jump,walk,2,0,0,walk,false,43851,id57,id58
game63,swim,walk,3,1,0,swim,true,13785,id58,id57
game63,hold,jump,4,2,0,hold,true,21088,id57,id58
game63,walk,swim,5,3,0,walk,true,8321,id58,id57
game63,jump,hold,6,0,1,hold,false,21098,id57,id58
game63,swim,hold,7,1,1,swim,true,10255,id58,id57
game63,walk,hold,8,2,1,walk,true,25631,id57,id58
game63,hold,jump,9,3,1,hold,true,11548,id58,id57
game63,swim,walk,10,0,2,swim,true,10296,id57,id58
game63,jump,walk,11,1,2,jump,true,22595,id58,id57
game63,walk,jump,12,2,2,walk,true,18592,id57,id58
game63,hold,jump,13,3,2,hold,true,6148,id58,id57
