gameId,target,distractor,trial,targetNum,repNum,response,correct,listener,speaker,game,exclude,exclusion_reason,words,all_words,type,expt,speaker_gender,speaker_age,listener_gender,listener_age,time.sec
X3KGngsmofwhPuzW2,swim,jump,0,0,0,jump,0,id25,id26,game47,NA,NA,4,6,block 1,1,female,65,male,65,26.004
X3KGngsmofwhPuzW2,jump,walk,1,1,0,walk,0,id26,id25,game47,NA,NA,6,10,block 1,1,male,65,female,65,61.995
X3KGngsmofwhPuzW2,walk,hold,2,2,0,hold,0,id25,id26,game47,NA,NA,9,10,block 1,1,female,65,male,65,40.49
X3KGngsmofwhPuzW2,hold,jump,3,3,0,hold,1,id26,id25,game47,NA,NA,3,15,block 1,1,male,65,female,65,29.518
X3KGngsmofwhPuzW2,walk,hold,4,0,1,walk,1,id25,id26,game47,NA,NA,8,22,block 2,1,female,65,male,65,31.448
X3KGngsmofwhPuzW2,jump,walk,5,1,1,jump,1,id26,id25,game47,NA,NA,2,7,block 2,1,male,65,female,65,26.384
X3KGngsmofwhPuzW2,hold,swim,6,2,1,hold,1,id25,id26,game47,NA,NA,6,5,block 2,1,female,65,male,65,12.607
X3KGngsmofwhPuzW2,swim,jump,7,3,1,swim,1,id26,id25,game47,NA,NA,7,12,block 2,1,male,65,female,65,17.097
X3KGngsmofwhPuzW2,jump,walk,8,0,2,jump,1,id25,id26,game47,NA,NA,2,4,block 3,1,female,65,male,65,10.179
X3KGngsmofwhPuzW2,walk,hold,9,1,2,walk,1,id26,id25,game47,NA,NA,13,14,block 3,1,male,65,female,65,11.724
X3KGngsmofwhPuzW2,swim,hold,10,2,2,swim,1,id25,id26,game47,NA,NA,6,15,block 3,1,female,65,male,65,9.854
X3KGngsmofwhPuzW2,hold,jump,11,3,2,hold,1,id26,id25,game47,NA,NA,4,8,block 3,1,male,65,female,65,13.765
bcszyeDMyWZqFeMBh,hold,walk,0,0,0,hold,1,id27,id28,game48,NA,NA,2,2,block 1,1,female,49,female,52,20.639
bcszyeDMyWZqFeMBh,walk,hold,1,1,0,hold,0,id28,id27,game48,NA,NA,2,2,block 1,1,female,52,female,49,17.297
bcszyeDMyWZqFeMBh,jump,walk,2,2,0,jump,1,id27,id28,game48,NA,NA,3,3,block 1,1,female,49,female,52,18.209
bcszyeDMyWZqFeMBh,swim,jump,3,3,0,swim,1,id28,id27,game48,NA,NA,3,3,block 1,1,female,52,female,49,14.863
bcszyeDMyWZqFeMBh,walk,jump,4,0,1,walk,1,id27,id28,game48,NA,NA,3,3,block 2,1,female,49,female,52,18.863
bcszyeDMyWZqFeMBh,hold,walk,5,1,1,hold,1,id28,id27,game48,NA,NA,5,5,block 2,1,female,52,female,49,16.716
bcszyeDMyWZqFeMBh,swim,jump,6,2,1,swim,1,id27,id28,game48,NA,NA,3,3,block 2,1,female,49,female,52,10.732
bcszyeDMyWZqFeMBh,jump,hold,7,3,1,jump,1,id28,id27,game48,NA,NA,3,3,block 2,1,female,52,female,49,12
bcszyeDMyWZqFeMBh,hold,swim,8,0,2,hold,1,id27,id28,game48,NA,NA,7,7,block 3,1,female,49,female,52,13.517
bcszyeDMyWZqFeMBh,swim,walk,9,1,2,swim,1,id28,id27,game48,NA,NA,3,3,block 3,1,female,52,female,49,15.206
bcszyeDMyWZqFeMBh,walk,jump,10,2,2,walk,1,id27,id28,game48,NA,NA,3,3,block 3,1,female,49,female,52,11.49
bcszyeDMyWZqFeMBh,jump,walk,11,3,2,jump,1,id28,id27,game48,NA,NA,3,3,block 3,1,female,52,female,49,8.89
kduAREQdY39j2SgoC,swim,jump,0,0,0,swim,1,id29,id30,game49,NA,NA,3,3,block 1,1,female,51,female,55,36.137
kduAREQdY39j2SgoC,jump,walk,1,1,0,walk,0,id30,id29,game49,NA,NA,3,3,block 1,1,female,55,female,51,18.612
kduAREQdY39j2SgoC,hold,walk,3,3,0,hold,1,id30,id29,game49,NA,NA,2,2,block 1,1,female,55,female,51,17.456
kduAREQdY39j2SgoC,swim,hold,5,1,1,swim,1,id30,id29,game49,NA,NA,2,2,block 2,1,female,55,female,51,11.492
